"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Apr 22 16:38:15 MSK 2019","Mon Apr 22 16:38:15 MSK 2019","172","","Some feature","","TC1-My TC","","TC1-My TC",""
"broken","Mon Apr 22 16:38:15 MSK 2019","Mon Apr 22 16:38:15 MSK 2019","0","","Some feature","","TC2-My TC","","TC2-My TC",""
